秦 嬴政 汉 刘邦
明世宗 朱厚熜 明光宗 朱常洛
明世宗 朱厚熜 明熹宗 朱由校
明世宗 朱厚熜 明毅宗 朱由检
明世宗 朱厚熜 清太祖 努尔哈赤
明世宗 朱厚熜 清太宗 皇太极
明世宗 朱厚熜 清世祖 福临
明世宗 朱厚熜 清圣祖 玄烨
明世宗 朱厚熜 清世宗 胤禛
明世宗 朱厚熜 清高宗 弘历
明世宗 朱厚熜 清仁宗 颙琰
明世宗 朱厚熜 清宣宗 旻宁
明世宗 朱厚熜 清文宗 奕詝
明世宗 朱厚熜 清穆宗 载淳
明世宗 朱厚熜 清德宗 载湉
明穆宗 朱载垕 明神宗 朱翊钧
明穆宗 朱载垕 明光宗 朱常洛
明穆宗 朱载垕 明熹宗 朱由校
明穆宗 朱载垕 明毅宗 朱由检
明穆宗 朱载垕 清太祖 努尔哈赤
明穆宗 朱载垕 清太宗 皇太极
明穆宗 朱载垕 清世祖 福临
明穆宗 朱载垕 清圣祖 玄烨
明穆宗 朱载垕 清世宗 胤禛
明穆宗 朱载垕 清高宗 弘历
明穆宗 朱载垕 清仁宗 颙琰
明穆宗 朱载垕 清宣宗 旻宁
明穆宗 朱载垕 清文宗 奕詝
明穆宗 朱载垕 清穆宗 载淳
明穆宗 朱载垕 清德宗 载湉
明神宗 朱翊钧 明光宗 朱常洛
明神宗 朱翊钧 明熹宗 朱由校
明神宗 朱翊钧 明毅宗 朱由检
明神宗 朱翊钧 清太祖 努尔哈赤
明神宗 朱翊钧 清太宗 皇太极
明神宗 朱翊钧 清世祖 福临
明神宗 朱翊钧 清圣祖 玄烨
明神宗 朱翊钧 清世宗 胤禛
明神宗 朱翊钧 清高宗 弘历
明神宗 朱翊钧 清仁宗 颙琰
明神宗 朱翊钧 清宣宗 旻宁
明神宗 朱翊钧 清文宗 奕詝
明神宗 朱翊钧 清穆宗 载淳
明神宗 朱翊钧 清德宗 载湉
明光宗 朱常洛 明熹宗 朱由校
明光宗 朱常洛 明毅宗 朱由检
明光宗 朱常洛 清太祖 努尔哈赤
明光宗 朱常洛 清太宗 皇太极
明光宗 朱常洛 清世祖 福临
明光宗 朱常洛 清圣祖 玄烨
明光宗 朱常洛 清世宗 胤禛
明光宗 朱常洛 清高宗 弘历
明光宗 朱常洛 清仁宗 颙琰
明光宗 朱常洛 清宣宗 旻宁
明光宗 朱常洛 清文宗 奕詝
明光宗 朱常洛 清穆宗 载淳
明光宗 朱常洛 清德宗 载湉
明熹宗 朱由校 明毅宗 朱由检
明熹宗 朱由校 清太祖 努尔哈赤
明熹宗 朱由校 清太宗 皇太极
明熹宗 朱由校 清世祖 福临
明熹宗 朱由校 清圣祖 玄烨
明熹宗 朱由校 清世宗 胤禛
明熹宗 朱由校 清高宗 弘历
明熹宗 朱由校 清仁宗 颙琰
明熹宗 朱由校 清宣宗 旻宁
明熹宗 朱由校 清文宗 奕詝
明熹宗 朱由校 清穆宗 载淳
明熹宗 朱由校 清德宗 载湉
明毅宗 朱由检 清太祖 努尔哈赤
明毅宗 朱由检 清太宗 皇太极
明毅宗 朱由检 清世祖 福临
明毅宗 朱由检 清圣祖 玄烨
明毅宗 朱由检 清世宗 胤禛
明毅宗 朱由检 清高宗 弘历
明毅宗 朱由检 清仁宗 颙琰
明毅宗 朱由检 清宣宗 旻宁
明毅宗 朱由检 清文宗 奕詝
明毅宗 朱由检 清穆宗 载淳
明毅宗 朱由检 清德宗 载湉
清太祖 努尔哈赤 清太宗 皇太极
清太祖 努尔哈赤 清世祖 福临
清太祖 努尔哈赤 清圣祖 玄烨
清太祖 努尔哈赤 清世宗 胤禛
清太祖 努尔哈赤 清高宗 弘历
清太祖 努尔哈赤 清仁宗 颙琰
清太祖 努尔哈赤 清宣宗 旻宁
清太祖 努尔哈赤 清文宗 奕詝
清太祖 努尔哈赤 清穆宗 载淳
清太祖 努尔哈赤 清德宗 载湉
清太宗 皇太极 清世祖 福临
清太宗 皇太极 清圣祖 玄烨
清太宗 皇太极 清世宗 胤禛
清太宗 皇太极 清高宗 弘历
清太宗 皇太极 清仁宗 颙琰
清太宗 皇太极 清宣宗 旻宁
清太宗 皇太极 清文宗 奕詝
清太宗 皇太极 清穆宗 载淳
清太宗 皇太极 清德宗 载湉
清世祖 福临 清圣祖 玄烨
清世祖 福临 清世宗 胤禛
清世祖 福临 清高宗 弘历
清世祖 福临 清仁宗 颙琰
清世祖 福临 清宣宗 旻宁
清世祖 福临 清文宗 奕詝
清世祖 福临 清穆宗 载淳
清世祖 福临 清德宗 载湉
清圣祖 玄烨 清世宗 胤禛
清圣祖 玄烨 清高宗 弘历
清圣祖 玄烨 清仁宗 颙琰
清圣祖 玄烨 清宣宗 旻宁
清圣祖 玄烨 清文宗 奕詝
清圣祖 玄烨 清穆宗 载淳
清圣祖 玄烨 清德宗 载湉
清世宗 胤禛 清高宗 弘历
清世宗 胤禛 清仁宗 颙琰
清世宗 胤禛 清宣宗 旻宁
清世宗 胤禛 清文宗 奕詝
清世宗 胤禛 清穆宗 载淳
清世宗 胤禛 清德宗 载湉
清高宗 弘历 清仁宗 颙琰
清高宗 弘历 清宣宗 旻宁
清高宗 弘历 清文宗 奕詝
清高宗 弘历 清穆宗 载淳
清高宗 弘历 清德宗 载湉
清仁宗 颙琰 清宣宗 旻宁
清仁宗 颙琰 清文宗 奕詝
清仁宗 颙琰 清穆宗 载淳
清仁宗 颙琰 清德宗 载湉
清宣宗 旻宁 清文宗 奕詝
清宣宗 旻宁 清穆宗 载淳
清宣宗 旻宁 清德宗 载湉
清文宗 奕詝 清穆宗 载淳
清文宗 奕詝 清德宗 载湉
清穆宗 载淳 清德宗 载湉
屈原 楚国 勾践 越国
屈原 楚国 管仲 齐国
屈原 楚国 孔子 鲁国
屈原 楚国 夫差 吴国
屈原 楚国 老子 陈国
屈原 楚国 荀子 赵国
屈原 楚国 韩非子 韩国
勾践 越国 管仲 齐国
勾践 越国 孔子 鲁国
勾践 越国 夫差 吴国
勾践 越国 老子 陈国
勾践 越国 荀子 赵国
勾践 越国 韩非子 韩国
管仲 齐国 孔子 鲁国
管仲 齐国 夫差 吴国
管仲 齐国 老子 陈国
管仲 齐国 荀子 赵国
管仲 齐国 韩非子 韩国
孔子 鲁国 夫差 吴国
孔子 鲁国 老子 陈国
孔子 鲁国 荀子 赵国
孔子 鲁国 韩非子 韩国
夫差 吴国 老子 陈国
夫差 吴国 荀子 赵国
夫差 吴国 韩非子 韩国
老子 陈国 荀子 赵国
老子 陈国 韩非子 韩国
荀子 赵国 韩非子 韩国
